SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007215,20243219,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG49,LCS001 TOP,3,1,,
96007213,20243217,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG47,LCS001 TOP,3,1,,
96007219,20243223,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG53,LCS001 TOP,3,1,,
96007220,20243224,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG54,LCS001 TOP,3,1,,
96007221,20243225,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG55,LCS001 TOP,3,1,,
96007222,20243226,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG56,LCS001 TOP,3,1,,
96007214,20243218,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG48,LCS001 TOP,3,1,,
96007216,20243220,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG50,LCS001 TOP,3,1,,
96007217,20243221,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG51,LCS001 TOP,3,1,,
96007218,20243222,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG52,LCS001 TOP,3,1,,
96007095,20243099,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG09,LCS001 TOP,3,1,,
96007096,20243100,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG10,LCS001 TOP,3,1,,
96007148,20243152,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG62,LCS001 TOP,3,1,,
96007273,20243277,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01712000-002-DJIG01,LCS001 TOP,3,1,,
96007150,20243154,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG64,LCS001 TOP,3,1,,
96007146,20243150,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG60,LCS001 TOP,3,1,,
96007152,20243156,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG66,LCS001 TOP,3,1,,
96007151,20243155,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG65,LCS001 TOP,3,1,,
96007145,20243149,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG59,LCS001 TOP,3,1,,
96007142,20243146,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG56,LCS001 TOP,3,1,,
96007147,20243151,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG61,LCS001 TOP,3,1,,
96007143,20243147,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG57,LCS001 TOP,3,1,,
96007144,20243148,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG58,LCS001 TOP,3,1,,
96007093,20243097,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG07,LCS001 TOP,3,1,,
96007094,20243098,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG08,LCS001 TOP,3,1,,
96007138,20243142,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG52,LCS001 TOP,3,1,,
96007141,20243145,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG55,LCS001 TOP,3,1,,
96007140,20243144,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG54,LCS001 TOP,3,1,,
96007139,20243143,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG53,LCS001 TOP,3,1,,
96007137,20243141,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG51,LCS001 TOP,3,1,,
96007136,20243140,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG50,LCS001 TOP,3,1,,
96007135,20243139,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG49,LCS001 TOP,3,1,,
96007134,20243138,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG48,LCS001 TOP,3,1,,
96007133,20243137,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG47,LCS001 LOWER,3,1,,
96007097,20243101,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG11,LCS001 LOWER,3,1,,
96007098,20243102,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG12,LCS001 LOWER,3,1,,
96007158,20243162,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG72,LCS001 LOWER,3,1,,
96007157,20243161,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG71,LCS001 LOWER,3,1,,
96007163,20243167,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG77,LCS001 LOWER,3,1,,
96007162,20243166,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG76,LCS001 LOWER,3,1,,
96007156,20243160,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG70,LCS001 LOWER,3,1,,
96007166,20243170,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG80,LCS001 LOWER,3,1,,
96007160,20243164,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG74,LCS001 LOWER,3,1,,
96007154,20243158,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG68,LCS001 LOWER,3,1,,
96007155,20243159,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG69,LCS001 LOWER,3,1,,
